epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2598.75,2.11367,1.52665,0.00679,0.3284,0.51804,0.31638,0.13544,1.96139,1.8943,0.00612,0.000555181,0.000555181,0.000555181
2,8169.38,1.91619,1.18498,0.00627,0.48096,0.53332,0.44982,0.18278,1.96225,1.58373,0.00595,0.00107419,0.00107419,0.00107419
3,11817.7,1.89651,1.15834,0.00603,0.51349,0.55841,0.44319,0.1826,1.89044,1.76295,0.00569,0.00155652,0.00155652,0.00155652
4,15099.4,1.86786,1.13667,0.00591,0.48142,0.55598,0.46027,0.18848,1.91856,1.7737,0.00577,0.00150197,0.00150197,0.00150197
5,17681.9,1.84778,1.10598,0.00575,0.39062,0.53832,0.37403,0.15507,1.95002,1.77382,0.00585,0.00144696,0.00144696,0.00144696
6,20709.5,1.80981,1.05211,0.00566,0.47189,0.56785,0.46329,0.19719,1.786,1.68928,0.00537,0.00139195,0.00139195,0.00139195
7,23875.8,1.79437,1.01118,0.00557,0.52071,0.52271,0.43156,0.17547,1.85904,1.86931,0.00542,0.00133693,0.00133693,0.00133693
8,27621.9,1.77792,1.01863,0.00558,0.49146,0.57556,0.49202,0.22603,1.82078,1.71365,0.00527,0.00128192,0.00128192,0.00128192
9,30164.7,1.74875,0.98668,0.00539,0.49634,0.59603,0.49718,0.22894,1.80325,1.71192,0.00522,0.00122691,0.00122691,0.00122691
10,32619.2,1.73687,0.96853,0.00533,0.54549,0.60261,0.54826,0.23098,1.90297,1.69565,0.00546,0.0011719,0.0011719,0.0011719
11,35183.9,1.71485,0.94157,0.00523,0.62185,0.56125,0.56065,0.23455,1.90085,1.75171,0.0055,0.00111689,0.00111689,0.00111689
12,37726.3,1.69689,0.93956,0.00514,0.50194,0.58323,0.521,0.22588,1.87142,1.75726,0.00541,0.00106188,0.00106188,0.00106188
13,40201.3,1.68707,0.90951,0.00509,0.60366,0.60768,0.57963,0.2384,1.93477,1.62502,0.00563,0.00100687,0.00100687,0.00100687
14,42657.6,1.68273,0.88179,0.00511,0.61298,0.63434,0.59088,0.26089,1.87818,1.66283,0.00541,0.000951857,0.000951857,0.000951857
15,45139.6,1.64927,0.87126,0.00499,0.64194,0.64481,0.61458,0.26457,1.8384,1.70369,0.00534,0.000896846,0.000896846,0.000896846
16,47636.7,1.63387,0.84874,0.00486,0.64473,0.58934,0.58095,0.24411,1.88224,1.62674,0.00551,0.000841835,0.000841835,0.000841835
17,50145,1.62222,0.84017,0.00484,0.62563,0.59985,0.56519,0.23342,1.97656,1.76442,0.00576,0.000786824,0.000786824,0.000786824
18,52660.8,1.599,0.83449,0.00482,0.68382,0.62163,0.59792,0.24488,1.93303,1.76712,0.00551,0.000731813,0.000731813,0.000731813
19,55159.9,1.59361,0.80569,0.00473,0.6487,0.63487,0.59141,0.24814,1.99159,1.69897,0.00571,0.000676802,0.000676802,0.000676802
20,57789.5,1.56728,0.80545,0.0047,0.61555,0.61233,0.55394,0.23001,1.96295,1.82693,0.00568,0.000621791,0.000621791,0.000621791
21,60418.7,1.51536,0.69181,0.00521,0.57726,0.57344,0.52755,0.22295,1.97687,1.98693,0.00568,0.00056678,0.00056678,0.00056678
22,62833.9,1.48591,0.66852,0.00507,0.61508,0.61445,0.55667,0.22571,2.00876,1.80432,0.00576,0.000511769,0.000511769,0.000511769
