epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,13276.2,1.94445,2.11204,0.02137,0.7216,0.53374,0.59351,0.33342,2.07756,1.76603,0.01303,0.00999817,0.00333272,0.00999817,0.00333272,0.00999817,0.00333272,0.00999817,0.00333272
2,25655.5,1.76847,1.75395,0.01831,0.77663,0.5742,0.64138,0.37938,1.97814,1.6092,0.01217,0.0190083,0.00633609,0.0190083,0.00633609,0.0190083,0.00633609,0.0190083,0.00633609
3,38532.7,1.74338,1.72003,0.01774,0.77512,0.58375,0.65634,0.38831,1.94623,1.5447,0.01225,0.0270283,0.00900945,0.0270283,0.00900945,0.0270283,0.00900945,0.0270283,0.00900945
4,50650.7,1.72313,1.70195,0.01724,0.77237,0.58954,0.65604,0.40653,1.88425,1.56518,0.01137,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,62573,1.66443,1.63048,0.01637,0.79125,0.61095,0.6752,0.41933,1.86175,1.47507,0.01118,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,75500.7,1.61538,1.56528,0.01567,0.79752,0.621,0.68131,0.42755,1.86056,1.52347,0.01083,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,87861.5,1.57233,1.51131,0.0151,0.79143,0.62407,0.68753,0.43637,1.84379,1.49829,0.01053,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,100099,1.54383,1.46222,0.01465,0.80202,0.6318,0.69883,0.45151,1.79777,1.43488,0.01022,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,112951,1.51913,1.42401,0.01435,0.81319,0.63202,0.7052,0.4601,1.77984,1.41497,0.01003,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,126486,1.48924,1.39116,0.01395,0.81029,0.63184,0.70773,0.46315,1.76977,1.41355,0.00994,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,138970,1.49421,1.22648,0.01606,0.77484,0.64217,0.70389,0.46365,1.76346,1.41833,0.00983,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,151910,1.46183,1.16873,0.01547,0.76326,0.64307,0.70093,0.46596,1.76774,1.42261,0.00973,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,164415,1.43229,1.10845,0.01493,0.75783,0.6471,0.69866,0.46831,1.76688,1.42911,0.00967,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,176646,1.40008,1.06096,0.01435,0.76216,0.64498,0.69874,0.46956,1.76346,1.42623,0.00963,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,188757,1.36986,1.02519,0.01395,0.76538,0.64519,0.69937,0.47157,1.75953,1.42369,0.00958,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,200091,1.34164,0.99538,0.01353,0.76943,0.64334,0.70264,0.47518,1.75703,1.41695,0.00952,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,211762,1.31387,0.95717,0.01319,0.77256,0.64379,0.70558,0.47842,1.7561,1.41045,0.00946,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,223736,1.28169,0.92004,0.01279,0.77374,0.64972,0.70913,0.48261,1.7544,1.4027,0.00941,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,234730,1.25614,0.89017,0.0124,0.77403,0.6524,0.712,0.48673,1.75546,1.39583,0.00936,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,245774,1.23236,0.86831,0.01211,0.77895,0.65337,0.71529,0.49064,1.75554,1.3895,0.00931,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
